true_rate,KG-DAP,rMAP,Uniform
0.15,0.0008666666666666666,0.0007333333333333333,0.0003333333333333333
0.2,0.0153,0.0116,0.007366666666666666
0.25,0.105,0.07673333333333333,0.057833333333333334
0.3,0.3549,0.28303333333333336,0.2379
0.35,0.6646333333333333,0.6017333333333333,0.5474333333333333
0.4,0.8685333333333334,0.8447333333333333,0.8105333333333333
0.45,0.9627666666666667,0.9558333333333333,0.9415
0.5,0.9912666666666666,0.9897,0.9862666666666666
0.55,0.9986333333333334,0.9983,0.9976
0.6,0.9999333333333333,0.9998333333333334,0.9997666666666667
