method,trial_id,arm_idx,p_true,p_pred,p_lo,p_hi,se,ae,covered,crps,ci_width,theta_mean,theta_sd
No Borrowing,advance_dakrd,0,0.5878378378378378,0.49903890286656344,0.0021462306591213858,0.9975813240587276,0.007885250852032618,0.08879893497127439,1,0.12011086058798368,0.9954350933996062,-0.04876820814835343,3.0658644067031777
No Borrowing,advance_krd,1,0.3309352517985611,0.5228472385649952,0.001534755483792981,0.9993681197897718,0.03683021066463996,0.19191198676643406,1,0.148785447462772,0.9978333643059788,0.1985020817239022,3.2632491797763374
No Borrowing,alcyone_dvmp,2,0.28,0.50394058894787,0.0022026553513616906,0.9982377244592966,0.05014938737831885,0.22394058894786995,1,0.1494918664697661,0.9960350691079349,0.042174179034133764,3.042301728592398
No Borrowing,alcyone_vmp,3,0.0702247191011236,0.5086827424826879,0.002139564304682088,0.9985126747845032,0.19224543826766835,0.43845802338156425,1,0.2512859581916669,0.9963731104798211,0.09816012799485284,3.165035424144576
No Borrowing,benefit_isard,4,0.2592592592592592,0.5068058924111981,0.0022195246763058864,0.9982945479499151,0.06127933558486063,0.24754663315193892,1,0.15898455067873085,0.9960750232736092,0.045980390260986284,3.1290334977185825
No Borrowing,benefit_isavrd,5,0.5333333333333333,0.5058783242824461,0.0017238613529119348,0.9980589188055949,0.0007537775219843019,0.02745500905088727,1,0.11471426478484453,0.996335057452683,0.05037987299483642,3.099753194389198
No Borrowing,cassiopeia_dvtd,6,0.6390423572744015,0.5023793697107881,0.001421030268218369,0.9974034236530277,0.01867677216981235,0.1366629875636134,1,0.12771772253916935,0.9959823933848093,0.007984824219706149,3.1138574812546946
No Borrowing,cassiopeia_vtd,7,0.4391143911439114,0.5037521454905667,0.002412610399259289,0.9984290725166841,0.004178039286978557,0.06463775434665531,1,0.11752099547251654,0.9960164621174248,0.0452890756201587,3.022752047040026
No Borrowing,cepheus_dvrd,8,0.6091370558375635,0.49951782100673664,0.0014708795983438474,0.9985738796152906,0.012016376644895965,0.10961923483082686,1,0.12354513076424589,0.9971030000169468,-0.011101352955637285,3.1723252591161955
No Borrowing,cepheus_vrd,9,0.3888888888888889,0.5027436798186451,0.0018904011896147617,0.9984647465671861,0.012962913417658494,0.1138547909297562,1,0.12589344512414583,0.9965743453775713,0.01702507523543097,3.1373942522363114
No Borrowing,derman_dakrd,10,0.6190476190476191,0.5110957049707735,0.001314714658092854,0.998102898576767,0.011653615752854648,0.10795191407684557,1,0.11958942812435427,0.9967881839186742,0.09197018254611578,3.12384803462757
No Borrowing,determination_vrd,11,0.3977591036414565,0.5054450222614691,0.002129434057399351,0.9984954003667154,0.011596257069035986,0.10768591862001264,1,0.12445708858496979,0.996365966309316,0.08184564520209096,3.106452245789328
No Borrowing,determination_vrd_asct,12,0.5452054794520548,0.5215178389522321,0.0017931144488026792,0.9993042490033472,0.0005611043124488376,0.023687640499822638,1,0.1149294945956513,0.9975111345545445,0.250222908437731,3.1767270668189695
No Borrowing,elokrd,13,0.5777777777777777,0.49709298963287096,0.0013997082811754795,0.9982905432299916,0.0065100350379884864,0.08068478814490676,1,0.1203439969226121,0.996890834948816,-0.03888336564120266,3.157303387204772
No Borrowing,endurance_krd,14,0.1026615969581749,0.49592339435832267,0.0018736985835415172,0.9984855503133628,0.15465484129439488,0.3932617974001478,1,0.22067131182412048,0.9966118517298214,-0.02455729560836984,3.0915992491419457
No Borrowing,endurance_vrd,15,0.0721062618595825,0.508424945163447,0.0017291574547438065,0.9979484449519492,0.1903739934000181,0.4363186833038646,1,0.25007163886444594,0.9962192874972055,0.03790224928278709,3.0762911818675045
No Borrowing,forte_krd12,16,0.5569620253164557,0.5036881352007359,0.0025677234496122043,0.998284640067996,0.0028381073680617892,0.05327389011571981,1,0.11510295136248738,0.9957169166183838,0.048120799805231596,3.071432235718849
No Borrowing,forte_krd_asct,17,0.5822784810126582,0.49815994879059916,0.001388846956896107,0.9990719356134149,0.007075927463193589,0.08411853222205906,1,0.1210911505131605,0.9976830886565188,0.057113263752069286,3.2217462686770646
No Borrowing,gmmg_concept_isakrd,18,0.6767676767676768,0.510576606081869,0.002338155309803439,0.9985577044611309,0.027619471975695146,0.16619107068580774,1,0.13126028213025673,0.9962195491513275,0.08826422557908893,3.181778912209167
No Borrowing,gmmghd7_isavrd,19,0.5,0.5085930557560665,0.0017182886431341864,0.9982702887845905,7.384060722686766e-05,0.008593055756066503,1,0.11575566822877018,0.9965520001414563,0.0460695337555449,3.100502832493454
No Borrowing,gmmghd7_vrd,20,0.3606060606060606,0.5028529649004858,0.0018489810693553433,0.9982975309686731,0.020234181781347366,0.1422469042944252,1,0.12788039066303533,0.9964485498993177,0.02804205317639123,3.1408398810762472
No Borrowing,griffin_dvrd,21,0.6442307692307693,0.48629399897059566,0.0006857139961370174,0.9978213964009196,0.02494402340021486,0.1579367702601736,1,0.1341636261003726,0.9971356824047826,-0.1789446525150351,3.165745800992676
No Borrowing,griffin_vrd,22,0.3009708737864077,0.5052550769712422,0.0015774174225180054,0.9989213678580962,0.041732035670862734,0.20428420318483448,1,0.1487732958370358,0.9973439504355781,0.03598619190118299,3.2191020831564665
No Borrowing,ifm2009_vrd_asct,23,0.6285714285714286,0.4864403767632663,0.0009042549655029201,0.9989807428685679,0.020201235888094506,0.14213105180816227,1,0.13239904940614197,0.9980764879030649,-0.10402412292944012,3.2256532414803973
No Borrowing,ifm2009_vrd_noasct,24,0.4885714285714285,0.4982418891987662,0.001173396921590442,0.9987549044806131,9.351780874488922e-05,0.00967046062733773,1,0.11583545083395122,0.9975815075590226,-0.010039892631728985,3.1988986063754683
No Borrowing,ifm201804_dakrd,25,0.62,0.5119976605040928,0.001987507961826139,0.9984088366008976,0.011664505336589198,0.10800233949590721,1,0.11806616195882061,0.9964213286390715,0.09227773373289463,3.059305111697411
No Borrowing,iskia_isakrd,26,0.7880794701986755,0.5070595384526888,0.0021568752952196924,0.997713562190384,0.07897220203851903,0.2810199317459867,1,0.16425168605434867,0.9955566868951643,0.0379021127283812,2.994772479381266
No Borrowing,iskia_krd,27,0.6291390728476821,0.5056409629482006,0.0017504648604979693,0.9987308158846984,0.015251783148744414,0.12349810989948151,1,0.12660075182481706,0.9969803510242004,0.0869819772371966,3.134264270940716
No Borrowing,maia_drd,28,0.3206521739130434,0.5077963809817747,0.0013801110908530734,0.9981786165469854,0.03502295423938418,0.1871442070687313,1,0.1388286657030384,0.9967985054561322,0.014927715716596004,2.9992192193524585
No Borrowing,maia_rd,29,0.1111111111111111,0.4948558053027486,0.0013358205769698971,0.9984408343188578,0.14725999032023337,0.3837446941916375,1,0.212353237843826,0.9971050137418879,-0.04550444808687783,3.104101136811641
No Borrowing,manhattan,30,0.7073170731707317,0.5003127166957045,0.0011849633088439513,0.9982348342006128,0.04285080359964011,0.20700435647502713,1,0.14102588351707565,0.9970498708917688,-0.017183523443159005,3.077506409566971
No Borrowing,master,31,0.7073170731707317,0.5132981534110648,0.0011713700413978792,0.9990839843760267,0.03764334122470806,0.1940189197596669,1,0.13700125924610063,0.9979126143346289,0.08678253827840339,3.2115184404319215
No Borrowing,midas_isakrd,32,0.629582806573957,0.49813073458115775,0.0017851899337032419,0.9991067988221604,0.01727964723120009,0.1314520719927993,1,0.12498016918128463,0.9973216088884571,0.003739342193235178,3.165473836439001
No Borrowing,perseus_dvrd,33,0.7492957746478873,0.5134548254305566,0.0015953544828960313,0.9980331117156838,0.055620953327731544,0.23584094921733068,1,0.14784242939628245,0.9964377572327877,0.10902919521359317,3.135870382280906
No Borrowing,perseus_vrd,34,0.480225988700565,0.4979951413905304,0.0013434843180780414,0.997282935847474,0.0003157427873193056,0.01776915268996543,1,0.11557258524112615,0.9959394515293959,-0.07812663975600818,3.0688463876432492
Full Pooling,advance_dakrd,0,0.5878378378378378,0.437059924035052,0.42690521031743656,0.44647260598653415,0.02273397929072031,0.15077791380278582,0,0.14792988150151784,0.019567395669097598,-0.2531294448842349,0.020541599278192556
Full Pooling,advance_krd,1,0.3309352517985611,0.44116673008229834,0.43125249118925935,0.45127560465305433,0.012150978804618037,0.11023147828373725,0,0.1072566453233817,0.020023113463794984,-0.2364550576135589,0.021320569150334045
Full Pooling,alcyone_dvmp,2,0.28,0.4454704568174331,0.4356112861543573,0.4557846558700835,0.027380472079369975,0.16547045681743305,0,0.16254034983797339,0.020173369715726197,-0.21901312435887477,0.020970060470974296
Full Pooling,alcyone_vmp,3,0.0702247191011236,0.4538814031567906,0.4431448465903123,0.4642333363567385,0.14719245122058988,0.383656684055667,0,0.38067918577051385,0.021088489766426244,-0.18502125018234727,0.0213529183504571
Full Pooling,benefit_isard,4,0.2592592592592592,0.4418906828482201,0.4320651917554458,0.45193453690372876,0.03335423688213046,0.1826314235889609,0,0.17970558941717232,0.01986934514828298,-0.23351793592898204,0.02098819805047623
Full Pooling,benefit_isavrd,5,0.5333333333333333,0.43801087188223525,0.42753254301988525,0.44850962909199915,0.009086371657096078,0.09532246145109807,0,0.09238574243406188,0.020977086072113904,-0.24926652776680025,0.021150387394733693
Full Pooling,cassiopeia_dvtd,6,0.6390423572744015,0.4272576351058125,0.41677557764941114,0.43742153176046455,0.044852768544026436,0.211784722168589,0,0.2087756907841081,0.02064595411105341,-0.29308320736302584,0.021749028168114293
Full Pooling,cassiopeia_vtd,7,0.4391143911439114,0.4392519977695068,0.42867713737544016,0.44928482731666974,1.8935583407758413e-08,0.00013760662559542114,1,0.0012562526942800213,0.02060768994122958,-0.24422650977706536,0.021514227495895034
Full Pooling,cepheus_dvrd,8,0.6091370558375635,0.43576713029835146,0.4253811831944912,0.44613072583879226,0.030057131081471927,0.17336992553921204,0,0.17049197941016725,0.020749542644301067,-0.2583869468156931,0.02082985397145885
Full Pooling,cepheus_vrd,9,0.3888888888888889,0.4405486068660482,0.4304945249681131,0.4509162590610724,0.002668726461479635,0.05165971797715929,0,0.04874703704615432,0.02042173409295933,-0.23896182255668133,0.020895198276904125
Full Pooling,derman_dakrd,10,0.6190476190476191,0.4387081911691154,0.42876791393289465,0.44851321488314394,0.032522309247546025,0.18033942787850366,0,0.17746125112045838,0.01974530095024929,-0.24643280899542094,0.020728333865658807
Full Pooling,determination_vrd,11,0.3977591036414565,0.4410754220930342,0.43097822776899314,0.4510941329400886,0.0018763034441984894,0.043316318451577684,0,0.04037449528226489,0.02011590517109546,-0.23682523689240506,0.021249563599675513
Full Pooling,determination_vrd_asct,12,0.5452054794520548,0.43499848341662223,0.42494417148167424,0.44521837032549544,0.012145581975153846,0.11020699603543255,0,0.10727338564973501,0.0202741988438212,-0.2615149961523499,0.02117712966959121
Full Pooling,elokrd,13,0.5777777777777777,0.43865750429435313,0.42815364642737846,0.44920448633703125,0.01935445049410285,0.1391202734834246,0,0.1361440958484382,0.021050839909652785,-0.2466404086486109,0.02141815755566098
Full Pooling,endurance_krd,14,0.1026615969581749,0.45957396774775994,0.44920612242664154,0.4698077349797589,0.12738644042264224,0.35691237078958504,0,0.35386859821326,0.020601612553117377,-0.16207689629674094,0.021657047548397364
Full Pooling,endurance_vrd,15,0.0721062618595825,0.46138741984117176,0.45091343399020545,0.4717610041209608,0.15153981995948704,0.38928115798158924,0,0.3862874166576281,0.020847570130755333,-0.1547760837209544,0.0213325766836119
Full Pooling,forte_krd12,16,0.5569620253164557,0.4375004790380849,0.42712051514551774,0.4478670268476588,0.014271061039219315,0.11946154627837074,0,0.11647462909683859,0.020746511702141035,-0.25134151262402715,0.02154751922716853
Full Pooling,forte_krd_asct,17,0.5822784810126582,0.4370068094716836,0.4263074297737281,0.44765819342964003,0.021103858552308823,0.14527167154097465,0,0.14226257148956703,0.02135076365591193,-0.253348367748545,0.021684605668257678
Full Pooling,gmmg_concept_isakrd,18,0.6767676767676768,0.4366690350538025,0.42674632138688295,0.44677173380874674,0.05764735775284738,0.2400986417138743,0,0.2372597576000122,0.020025412421863786,-0.25471829251682293,0.02048061674439921
Full Pooling,gmmghd7_isavrd,19,0.5,0.4372231372801349,0.427582818251877,0.4474514767796159,0.003940934492948789,0.0627768627198651,0,0.05989956617313707,0.01986865852773889,-0.2524666073620579,0.02079506373179978
Full Pooling,gmmghd7_vrd,20,0.3606060606060606,0.4422526123636534,0.432032565055813,0.4522323354248619,0.006666159413905276,0.08164655175759278,0,0.07871268199076134,0.02019977036904891,-0.23205050749045164,0.021057377135336824
Full Pooling,griffin_dvrd,21,0.6442307692307693,0.4371151541612369,0.42672453346996464,0.44766521875302284,0.0428968780056307,0.20711561506953236,0,0.20419304320046702,0.020940685283058202,-0.25290655873196466,0.02116288512776515
Full Pooling,griffin_vrd,22,0.3009708737864077,0.4409340592911532,0.430485672890849,0.45110638501225137,0.019589693296635804,0.1399631855047455,0,0.13698539649821648,0.020620712121402374,-0.23739911636441385,0.021396906475341933
Full Pooling,ifm2009_vrd_asct,23,0.6285714285714286,0.43205583781887313,0.421473523452522,0.44278666834309616,0.03861837740882585,0.19651559075255542,0,0.1934759196878013,0.021313144890574176,-0.27350099058803284,0.02194779788617855
Full Pooling,ifm2009_vrd_noasct,24,0.4885714285714285,0.43765023383874246,0.42756101147141995,0.44772917725831374,0.002592968073004131,0.050921194732686026,0,0.047985721415188025,0.020168165786893788,-0.25073182479860073,0.021133240898086058
Full Pooling,ifm201804_dakrd,25,0.62,0.43831064936464337,0.42773029066602175,0.44857158641565126,0.03301102013429757,0.18168935063535663,0,0.17877550522012806,0.020841295749629507,-0.24804849503630566,0.021071978050097216
Full Pooling,iskia_isakrd,26,0.7880794701986755,0.43380862217137495,0.4232685160124957,0.4437717135336993,0.1255078337619827,0.3542708480273006,0,0.35129358186857307,0.02050319752120361,-0.2663591706859993,0.02144354666925102
Full Pooling,iskia_krd,27,0.6291390728476821,0.4363264548222734,0.425935667404631,0.4470197258016133,0.03717670566981217,0.19281261802540872,0,0.18984216391418499,0.021084058396982297,-0.25611372176934016,0.021411199559392045
Full Pooling,maia_drd,28,0.3206521739130434,0.44422572620921197,0.4337795526434648,0.4548330614573104,0.015270422827093908,0.12357355229616857,0,0.12059854850731987,0.0210535088138456,-0.22405481276269473,0.02135139607383807
Full Pooling,maia_rd,29,0.1111111111111111,0.45268927032446615,0.44235795932259325,0.4632045907912793,0.11667563885158413,0.34157815921335505,0,0.33860393205122513,0.02084663146868604,-0.18983221335738962,0.021326906962226663
Full Pooling,manhattan,30,0.7073170731707317,0.4381725527652453,0.428073801406179,0.448455013626561,0.07243877286429927,0.26914452040548636,0,0.26620936540187673,0.020381212220381972,-0.24860951824771876,0.021112640560983293
Full Pooling,master,31,0.7073170731707317,0.4358431382187392,0.42550844056236375,0.44554282363749953,0.07369809735831863,0.27147393495199246,0,0.26854505427610126,0.020034383075135775,-0.25807845851701466,0.021072680699650907
Full Pooling,midas_isakrd,32,0.629582806573957,0.4216764472816619,0.41151867002656917,0.43172026839370986,0.043225054234176906,0.20790635929229512,0,0.20495850517041322,0.020201598367140694,-0.31593109072862813,0.02140526050436986
Full Pooling,perseus_dvrd,33,0.7492957746478873,0.4271365698813381,0.4162112235993334,0.43793669841403104,0.10378655321581541,0.32215920476654925,0,0.3191431004864068,0.021725474814697665,-0.29357842738409307,0.021888264579484746
Full Pooling,perseus_vrd,34,0.480225988700565,0.43782939751435757,0.42763504675326913,0.44782973541824916,0.0017974709442104009,0.04239659118620742,0,0.03952000771840432,0.02019468866498003,-0.250002759027602,0.02074776527247438
BHM,advance_dakrd,0,0.5878378378378378,0.45685279947329754,0.09994568298365482,0.8450812737166274,0.01715708027536009,0.13098503836454028,1,0.08323994869023818,0.7451355907329726,-0.21111920889497127,0.9862033476670203
BHM,advance_krd,1,0.3309352517985611,0.470929534725381,0.10747739841833215,0.8568057814312882,0.019598399252194504,0.13999428292681992,1,0.08313095214358819,0.749328383012956,-0.13888719915423478,0.9794045563742685
BHM,alcyone_dvmp,2,0.28,0.4797475390423501,0.12258274669237477,0.8477252908485406,0.03989907935347518,0.1997475390423501,1,0.11470869184845962,0.7251425441561659,-0.0945648302336341,0.9612430547750226
BHM,alcyone_vmp,3,0.0702247191011236,0.47356366580445386,0.1334139329875537,0.8422119907373901,0.16268230592775187,0.40333894670333026,0,0.2936948558116762,0.7087980577498364,-0.1210579620369475,0.8968278999041764
BHM,benefit_isard,4,0.2592592592592592,0.47517926507447505,0.12994436107867574,0.8492860448650137,0.046621448911242855,0.21592000581521587,1,0.12423942223734342,0.719341683786338,-0.11509041174663043,0.9488106658616849
BHM,benefit_isavrd,5,0.5333333333333333,0.46675578348428237,0.11866604865172882,0.8458130169050775,0.004432570143902865,0.06657754984905095,1,0.06153408981482615,0.7271469682533487,-0.15643159438124768,0.9632707226364201
BHM,cassiopeia_dvtd,6,0.6390423572744015,0.46279672334613037,0.10838281915134454,0.8461890569493036,0.031062523478778158,0.17624563392827114,1,0.10676550257841862,0.7378062377979591,-0.17758724568638004,0.9718504625947331
BHM,cassiopeia_vtd,7,0.4391143911439114,0.4771981835227346,0.11665169120165451,0.8625806066724755,0.001450375241953312,0.0380837923788232,1,0.056799425140210774,0.745928915470821,-0.10650353389055715,0.9998024423204758
BHM,cepheus_dvrd,8,0.6091370558375635,0.46894599388829933,0.11765707818010954,0.8446565808107644,0.019653533850462424,0.14019106194926417,1,0.08658553017167096,0.7269995026306549,-0.14966505459453366,0.9579578994893728
BHM,cepheus_vrd,9,0.3888888888888889,0.4682047327806551,0.10892478177388734,0.8638270484842387,0.006291003092263028,0.07931584389176621,1,0.06266649244320567,0.7549022667103514,-0.14992235335514784,1.0042925152899438
BHM,derman_dakrd,10,0.6190476190476191,0.46819266947532856,0.10302578434214096,0.8501479716353342,0.022757215810458312,0.1508549495722905,1,0.09200600490301145,0.7471221872931932,-0.15855615827351516,0.9851927519918362
BHM,determination_vrd,11,0.3977591036414565,0.477358445251921,0.10901195711043674,0.8596274107758556,0.0063360551848194255,0.0795993416104645,1,0.06292605231725996,0.7506154536654188,-0.10985363366053401,0.9733172553135617
BHM,determination_vrd_asct,12,0.5452054794520548,0.45941363052887507,0.10837144102461682,0.8507829148660212,0.00736024134165769,0.0857918489231797,1,0.06782054268016907,0.7424114738414044,-0.19207557535034714,0.9722349001477661
BHM,elokrd,13,0.5777777777777777,0.4682338646558193,0.11051673411285069,0.85865521211347,0.011999868902071179,0.10954391312195844,1,0.07741495633378104,0.7481384780006193,-0.1539205364259192,1.0087509811320985
BHM,endurance_krd,14,0.1026615969581749,0.49068147303208515,0.13321683073022486,0.8507017027750619,0.15055942422841267,0.38801987607391025,0,0.27530896488844,0.717484872044837,-0.0437947498128685,0.9226403919371277
BHM,endurance_vrd,15,0.0721062618595825,0.48269529983476805,0.15002394522793128,0.8282003997377813,0.16858335810538835,0.41058903797518553,0,0.30406430018696706,0.67817645450985,-0.08098107222388501,0.859326182879189
BHM,forte_krd12,16,0.5569620253164557,0.46840818293654857,0.11148520274362496,0.8615314075990964,0.00784178300024543,0.0885538423799071,1,0.0689792504312544,0.7500462048554715,-0.15141252842960096,0.9909161580680463
BHM,forte_krd_asct,17,0.5822784810126582,0.4689000916149714,0.12052295063540384,0.8422081405293959,0.012854659182413498,0.1133783893976868,1,0.07419579936134169,0.721685189893992,-0.1527076843537573,0.9503161763375686
BHM,gmmg_concept_isakrd,18,0.6767676767676768,0.46754593074291484,0.11559203521361903,0.843425738700147,0.043773739009649995,0.20922174602476196,1,0.12480069189904937,0.727833703486528,-0.15693621449254436,0.9665006987417245
BHM,gmmghd7_isavrd,19,0.5,0.4668353424536572,0.10378528710116108,0.8563092768654659,0.0010998945101661918,0.03316465754634279,1,0.055414528889398476,0.7525239897643048,-0.16092052890354222,0.9941830433933263
BHM,gmmghd7_vrd,20,0.3606060606060606,0.47229614614487375,0.11725260410219819,0.8559487375241622,0.0124746752076674,0.11169008553881316,1,0.07279286445288372,0.738696133421964,-0.13301953978258899,0.9751235981655141
BHM,griffin_dvrd,21,0.6442307692307693,0.4623704116729981,0.11075995194233781,0.8572021771303224,0.033073189651040384,0.1818603575577712,1,0.10926766497559195,0.7464422251879846,-0.1829856217971113,0.9947751057756183
BHM,griffin_vrd,22,0.3009708737864077,0.4702223664701939,0.11730411998424338,0.8484184786213245,0.028646067775689732,0.1692514926837862,1,0.09737799666793442,0.7311143586370811,-0.14297158533188387,0.9699469798879191
BHM,ifm2009_vrd_asct,23,0.6285714285714286,0.46933941796907586,0.1110788211210131,0.859410605121648,0.025354833200467764,0.1592320106023527,1,0.0967867828171795,0.7483317840006349,-0.14909521610615173,1.0065362497128125
